ENSEMBL,RNAseq_MEAN,RNAseq_SD,RNAseq_VAR,RNAseq_CV,RNAseq_FF,RNAseq_GC,scRNAseq_MEAN,scRNAseq_SD,scRNAseq_VAR,scRNAseq_CV,scRNAseq_FF,scRNAseq_GC
ENSG00000258867,0.310424077502425,0.11858836851317,0.0140632011466155,0.382020523238066,0.0453031905893499,0.212034519325065,5.91844067790266e-05,0.00441063063072845,1.945366256072e-05,74.5235252115673,0.328695743008002,0.999832530542826
ENSG00000258890,3.40520244099372,0.146813337929829,0.0215541561940981,0.0431144228496985,0.00632977233148232,0.0246102217487085,0.00237459261058938,0.0327102328515489,0.00106995933320255,13.7750924961525,0.450586483100771,0.995334340592611
ENSG00000258891,1.17704605020604,0.374148970296017,0.13998745197357,0.317871140411647,0.118931159871838,0.161693297990668,6.77251562982071e-05,0.00492502852627153,2.42559059845883e-05,72.7208144723308,0.358152085729929,0.99981839999236
ENSG00000258920,0.771042912313403,0.215550051755808,0.0464618248119314,0.279556492010388,0.0602584163215111,0.154420277119408,1.47611617648589e-05,0.0015110556525085,2.28328918497788e-06,102.366986865884,0.154682214133957,0.999904571046855
ENSG00000258929,1.81023729618838,0.174746908562559,0.0305364820521713,0.0965325976492165,0.0168687730147139,0.0527341069366647,0.000411870905957898,0.0126548632258373,0.000160145563264648,30.725314759501,0.388824655852283,0.999049952325812
ENSG00000258940,0.395151046048768,0.194631396745471,0.0378813805990929,0.492549364835669,0.0958655708440607,0.279774548514537,0.000816757800691807,0.0202298678566919,0.000409247553499215,24.7685027795962,0.501063538239336,0.99853891564934
ENSG00000258944,0.721681122349296,0.2042454825588,0.0417162171456771,0.283013475389127,0.0578042238514953,0.157087175348411,4.92777212278825e-05,0.00304988922337356,9.30182427485017e-06,61.8918478244862,0.188763279694577,0.999758046033333
ENSG00000258946,0.164365052232521,0.0773510497302566,0.00598318489437263,0.470605208830105,0.0364018069115353,0.260520668577736,3.17081598621824e-05,0.00297389438899678,8.84404783690653e-06,93.7895608550805,0.278920248773396,0.999887771655625
ENSG00000258985,3.08148685238478,0.20692450610297,0.0428177512259582,0.0671508645064735,0.0138951594723895,0.0376052230846534,6.58864157098279e-05,0.00674459385160811,4.54895462231499e-05,102.366986865884,0.690423750223287,0.999904571046856
ENSG00000259003,0.769760681029523,0.267078876548669,0.0713311262984991,0.346963521430404,0.0926666275070022,0.192147350863718,0.000188404652169201,0.00911408512824146,8.30665477248321e-05,48.3750534995089,0.440894355677759,0.999612343501593
ENSG00000259030,0.310894374714592,0.0993410169181242,0.00986863764232703,0.319533015061213,0.0317427346550952,0.172025204828658,8.75808601725552e-05,0.00651723435406649,4.24743436258244e-05,74.413911227019,0.484972898669182,0.999832222912368
ENSG00000259054,0.79910686177912,0.323438764284973,0.104612634242191,0.404750327840852,0.130911945880783,0.22780982895809,0.000529393875821677,0.0159491229511761,0.000254374522911731,30.1271391294833,0.480501446143316,0.999007078682755
ENSG00000259062,1.21578414261985,0.265437498128316,0.0704570654126196,0.218326172240028,0.0579519529353247,0.122567703379884,0.000238138233807078,0.0104723298232532,0.000109669691926999,43.9758440122518,0.460529542752236,0.999535343160125
ENSG00000259065,1.67171179382231,0.42245590322338,0.178468990168282,0.252708573801139,0.106758228797452,0.142926247937123,0.00113038393321215,0.0249296204436302,0.000621485975463463,22.0541178188804,0.54980078644379,0.998129932744729
ENSG00000259088,2.75378588839749,0.371177929175354,0.137773055106904,0.134788231263453,0.0500304165575772,0.0690501835237389,1.43624493009846e-05,0.00147024065895581,2.1616075952468e-06,102.366986865884,0.150504106225017,0.999904571046855
ENSG00000259097,2.31713643518935,0.447884264458781,0.200600314349783,0.193292141825123,0.0865725087670075,0.108011906257946,6.28438990098861e-05,0.00591344782689354,3.4968865201392e-05,94.0974051588252,0.556440096052776,0.999888408284534
ENSG00000259120,0.818490471722452,0.18516599515266,0.0342864457608751,0.2262286508516,0.0418898532669804,0.127674877379557,2.73161453545049e-08,2.79627149273117e-06,7.819134261061e-12,102.366986865884,0.000286245887169857,0.999904571046856
ENSG00000259138,0.931127562842126,0.289362511422723,0.0837306630168655,0.310765702756653,0.0899239442137126,0.174420989872086,4.41154588490557e-05,0.00313963768857332,9.85732481551002e-06,71.1686508649002,0.223443778500357,0.999806191105349
ENSG00000259153,0.532899067506322,0.188904650588148,0.0356849670138302,0.3544848585908,0.066963838350884,0.197378264752919,0.000365704513999582,0.013021906077339,0.000169570037887039,35.6077258520082,0.463680461672488,0.999293424311511
ENSG00000259158,0.211067963173427,0.0950985621593754,0.00904373652478059,0.450558960865304,0.0428475093463127,0.247290291460769,1.97380986890484e-06,0.000202052968925934,4.08254022517843e-08,102.366986865884,0.0206835536162538,0.999904571046856
ENSG00000259172,0.263047531013905,0.0955007507370661,0.00912039339134323,0.363055111633106,0.034672035719891,0.20298274222871,0.000165989949158071,0.00851986078927473,7.25880278686211e-05,51.327570328739,0.437303753852565,0.999638910935297
ENSG00000259224,0.573669238731907,0.191038866505856,0.0364958485158424,0.333012219599131,0.0636182769648173,0.187072137303207,7.55829697301256e-05,0.0054748229871658,2.9973686740799e-05,72.4346106896044,0.396566671669852,0.999812817499655
ENSG00000259248,1.89759364902744,0.285617395582696,0.0815772966594423,0.150515573093893,0.0429898659817145,0.0749704516458602,0.000253008891792037,0.00990721236150464,9.81528567759504e-05,39.1575659311134,0.38794232123916,0.999408562965411
ENSG00000259274,1.92912388784964,0.506324929589399,0.25636493432371,0.262463666941469,0.132891897683915,0.13340428552453,0.000239571748972839,0.0106990606483509,0.000114469898757091,44.6591081553774,0.477810506655646,0.999543381822188
ENSG00000259291,1.24647100951577,0.225833247673116,0.0510006557545869,0.181178098767695,0.0409160384519491,0.100549107394235,4.87339200782659e-05,0.00276521863933174,7.64643412330768e-06,56.7411493861122,0.156901683899584,0.999717929130655
ENSG00000259305,0.587797424341213,0.147474222641727,0.0217486463437816,0.25089293782975,0.0370002409727415,0.142341738605579,0.000942229253284857,0.0201195005806421,0.000404794303614459,21.3530841995197,0.429613389950736,0.998039709067312
ENSG00000259321,1.04547820654963,0.217112780038146,0.0471379592558925,0.207668393925379,0.0450874623311959,0.117087208570141,0.00187458297689145,0.0301638992960853,0.000909860820744373,16.0909917928013,0.485367056012192,0.996575325224323
ENSG00000259326,2.33643823637523,0.311498572834454,0.0970313608779017,0.133321980433652,0.0415296066325455,0.0662906189871496,5.20817734350113e-05,0.00533145421717373,2.84244040698196e-05,102.366986865884,0.545764903825484,0.999904571046856
ENSG00000259330,2.17032906190563,0.196153037231504,0.038476014015144,0.0903793994534979,0.017728193705963,0.0495254513527451,2.27395983174962e-07,2.32778416230261e-05,5.41857910626685e-10,102.366986865884,0.00238288250769043,0.999904571046856
ENSG00000259343,0.915785414656187,0.154192865789084,0.0237754398602504,0.168372266386195,0.0259618022734905,0.0936730088262318,0.000343525648847929,0.0134155802678894,0.000179977793924185,39.0526306052571,0.523913700557062,0.999411701640191
ENSG00000259349,0.427709642419064,0.174550332569932,0.0304678186002739,0.408104740362412,0.0712348181536248,0.230224845980586,0.000174797917150307,0.00861574882292159,7.42311277796747e-05,49.289768227118,0.42466826258487,0.999620735533082
ENSG00000259363,1.73176589217037,0.223162142672214,0.0498013419220535,0.128863920741927,0.0287575486659107,0.0732285527067384,0.000279316517220759,0.0129525175966,0.000167767712090232,46.3721863836749,0.600636560127363,0.999563334164087
ENSG00000259372,0.415655003546303,0.179328416638288,0.0321586810139954,0.431435722193372,0.0773686849421337,0.241113280029464,7.81148646564582e-05,0.0069145687576291,4.78112611039804e-05,88.5179637452964,0.612063546602171,0.99987631634267
ENSG00000259407,1.38160215744481,0.180875518619155,0.0327159532357483,0.130917223633809,0.0236797207209451,0.0737862524207218,6.2195294525959e-05,0.00636674489785861,4.05354405944086e-05,102.366986865884,0.651744491337524,0.999904571046856
ENSG00000259424,0.756276187584501,0.277951624546141,0.077257105587839,0.367526611453815,0.102154618717526,0.209937811145342,8.00154937328639e-05,0.00477865576404889,2.28355509112777e-05,59.721630663215,0.285389114607172,0.99973560995456
ENSG00000259431,1.56871954178283,0.171794342464291,0.0295132961027379,0.109512464075668,0.0188136217575236,0.058638101767856,3.15289038656316e-06,0.000322751888790882,1.04168781718082e-07,102.366986865884,0.0330391383607954,0.999904571046856
ENSG00000259436,1.49440951345227,0.184371904732218,0.0339929992545861,0.123374418506141,0.022746776535207,0.0698214589175186,0.000814987164719342,0.0192305188128035,0.000369812853809588,23.5961002151806,0.453765249096826,0.998401188743105
ENSG00000259442,1.50927275587605,0.198238632530745,0.0392985554276598,0.13134712182337,0.0260380738171141,0.0741417437961515,2.41100813020208e-05,0.00246807637597935,6.09140099766734e-06,102.366986865884,0.252649541963875,0.999904571046856
ENSG00000259448,0.744614762197826,0.24587174468633,0.0604529148350998,0.330199933131339,0.0811868336543117,0.178030603188223,0.00064063918439011,0.0167852950206307,0.000281746128929609,26.2008560038523,0.439789097817724,0.99869594790724
ENSG00000259456,2.78567750047484,0.191167258665876,0.0365449207858261,0.0686250503273587,0.013118862746889,0.0387217782278443,0.000207334836890105,0.00931580437192542,8.67842110959848e-05,44.9312065046894,0.41857032999227,0.999520958495079
ENSG00000259488,0.506370192920678,0.191839182305294,0.036802271867564,0.378851648432919,0.0726785904503841,0.212890807398312,0.000195869124420782,0.00896926927725004,8.04477913678214e-05,45.7921548573503,0.410722167701108,0.999569676136807
ENSG00000259494,1.40204957657812,0.136537032820052,0.0186423613313039,0.0973838836379007,0.0132965065164122,0.0540265675631585,0.0170425956346546,0.0898409760923054,0.0080714009852182,5.27155475716514,0.473601624907752,0.968653463151792
