ENSEMBL,MEAN,SD,VAR,CV,FF,GC
ENSG00000115687,0.0166160603374406,0.101820698562542,0.010367454655764,6.12784838853235,0.623941803605709,0.975897741248023
ENSG00000115685,0.0416476178090097,0.144998069520069,0.0210244401645467,3.48154533555821,0.50481735260254,0.930100335128201
ENSG00000146205,0,0,0,NaN,NaN,NaN
ENSG00000115677,0.00522804167371235,0.0493451126139995,0.00243494013888829,9.43854615048627,0.465746122708176,0.990004754853847
ENSG00000268485,0,0,0,NaN,NaN,NaN
ENSG00000168385,0.0145317183031152,0.0829581423631497,0.00688205338434461,5.70876345334646,0.473588411280262,0.973203518583836
ENSG00000223374,0,0,0,NaN,NaN,NaN
ENSG00000006607,0.000371486347082233,0.0115795652864097,0.000134086332222225,31.1709040651403,0.360945518658706,0.999076227096846
ENSG00000115694,0.0154495326634932,0.0873976463692965,0.0076383485908926,5.65697670427369,0.49440644951946,0.972755140904448
ENSG00000234235,2.44137592630241e-05,0.00249916297382483,6.24581556973697e-06,102.366986865884,0.255831783317229,0.999904571046855
ENSG00000176720,0,0,0,NaN,NaN,NaN
ENSG00000273113,0,0,0,NaN,NaN,NaN
ENSG00000176946,0.0124629034548391,0.0793993889584506,0.00630426296697533,6.37085806258261,0.505842237310078,0.978394563550721
ENSG00000168397,0.0164041060175431,0.0886832040026273,0.00786471067217161,5.40615891580964,0.479435494001369,0.970195155050858
ENSG00000168393,0.0145366439885461,0.0829856529861326,0.00688661860153482,5.70872156266053,0.4737419865934,0.973394911476825
ENSG00000228989,0.00111035101090146,0.0234367919445641,0.000549283216652783,21.1075522194882,0.494693309827166,0.997998547959447
ENSG00000168395,0.00990590199684204,0.0691993114629203,0.00478854470694225,6.98566485767583,0.483403198261886,0.981786753241813
ENSG00000235351,0,0,0,NaN,NaN,NaN
ENSG00000180902,0.00516434858897373,0.0509440490933694,0.00259529613802764,9.86456437161092,0.50254085163205,0.990832794164185
ENSG00000215692,0,0,0,NaN,NaN,NaN
ENSG00000234793,0,0,0,NaN,NaN,NaN
ENSG00000154252,0,0,0,NaN,NaN,NaN
ENSG00000215023,0,0,0,NaN,NaN,NaN
ENSG00000224272,0,0,0,NaN,NaN,NaN
ENSG00000204099,0,0,0,NaN,NaN,NaN
ENSG00000235151,0,0,0,NaN,NaN,NaN
ENSG00000188389,0.000251195829737057,0.0119022919130995,0.000141664552784633,47.3825219373999,0.563960607677774,0.99957859675978
ENSG00000188011,0,0,0,NaN,NaN,NaN
ENSG00000233806,3.39605896819039e-05,0.00347644323792512,1.20856575865153e-05,102.366986865884,0.355873019276671,0.999904571046856
ENSG00000216921,0,0,0,NaN,NaN,NaN
ENSG00000237940,0.000195145263028182,0.0115327793618827,0.000133004999809869,59.0984335613477,0.681569194895909,0.999715108403817
ENSG00000226423,4.93521405276748e-05,0.00505202992119973,2.55230063246974e-05,102.366986865884,0.517161080589504,0.999904571046856
ENSG00000232002,0,0,0,NaN,NaN,NaN
ENSG00000261186,4.74707701938581e-05,0.00372289413964476,1.38599407750013e-05,78.4249786645854,0.29196789347215,0.99984894249483
ENSG00000223587,0,0,0,NaN,NaN,NaN
ENSG00000224918,0,0,0,NaN,NaN,NaN
ENSG00000134121,0,0,0,NaN,NaN,NaN
ENSG00000234661,0,0,0,NaN,NaN,NaN
ENSG00000224957,0,0,0,NaN,NaN,NaN
ENSG00000224239,0,0,0,NaN,NaN,NaN
ENSG00000235158,0,0,0,NaN,NaN,NaN
ENSG00000134115,0,0,0,NaN,NaN,NaN
ENSG00000225044,0,0,0,NaN,NaN,NaN
ENSG00000144619,0,0,0,NaN,NaN,NaN
ENSG00000227588,0,0,0,NaN,NaN,NaN
ENSG00000237990,0,0,0,NaN,NaN,NaN
ENSG00000091181,0,0,0,NaN,NaN,NaN
ENSG00000072756,0.00608361953573732,0.0559801704211383,0.00313377948037969,9.20178687905959,0.515117597668751,0.989536780763523
ENSG00000113851,0.0544736300862221,0.162571426545433,0.0264294687290171,2.98440596464952,0.485179135063771,0.90875209320782
ENSG00000271870,0.000183483943510798,0.00932352805544286,8.69281754006302e-05,50.8138634751666,0.473764481716159,0.999632599746221
ENSG00000223727,0,0,0,NaN,NaN,NaN
ENSG00000144455,0.00395100858062629,0.044070961463109,0.00194224964428284,11.1543573150436,0.491583251377036,0.992801137336971
ENSG00000175928,0.000100763984200818,0.00721538380637222,5.20617634732585e-05,71.6067736265006,0.516670354851213,0.999816486877949
ENSG00000170364,0.00211074933804731,0.0309401966187293,0.000957295766805628,14.6583945620718,0.453533609865412,0.995860677379981
ENSG00000231249,2.83031543368627e-05,0.0028973086282647,8.39439728741706e-06,102.366986865884,0.296588754295984,0.999904571046856
ENSG00000150995,0.000673542517149688,0.0199161792182138,0.00039665419465201,29.5692977222811,0.588907432793671,0.998943448377186
ENSG00000235947,1.05911367853596e-05,0.00108418276020168,1.17545225751853e-06,102.366986865884,0.110984522373783,0.999904571046856
ENSG00000235978,0.00135723858303752,0.0236319403111899,0.000558468602871641,17.4117805126799,0.41147415778719,0.997072330312586
ENSG00000235831,0,0,0,NaN,NaN,NaN
ENSG00000134107,9.53582885325363e-05,0.0068365687746488,4.6738672610503e-05,71.6934928243407,0.490137494388395,0.999813759698001
ENSG00000134108,0.00593798269629511,0.0554407558023874,0.00307367740393996,9.33663141810411,0.517629902468008,0.989222862947049
ENSG00000233912,9.13938881967426e-05,0.00717147998626807,5.14301251934434e-05,78.4678289518671,0.562730464894221,0.999849089005664
ENSG00000268509,7.24455266196075e-05,0.00641656076480263,4.11722520484045e-05,88.5708347251626,0.568320143003296,0.999866446334424
ENSG00000134109,0.00223252967579897,0.0349220826390767,0.0012195518558505,15.6423822794557,0.546264566635179,0.996308881224338
ENSG00000230944,0,0,0,NaN,NaN,NaN
ENSG00000229642,0,0,0,NaN,NaN,NaN
ENSG00000226022,0,0,0,NaN,NaN,NaN
ENSG00000189229,0,0,0,NaN,NaN,NaN
ENSG00000226258,0,0,0,NaN,NaN,NaN
ENSG00000196277,3.14132527741562e-05,0.00321568003414673,1.03405980820099e-05,102.366986865884,0.329179475820382,0.999904571046856
ENSG00000237665,0,0,0,NaN,NaN,NaN
ENSG00000236202,2.83031543368627e-05,0.0028973086282647,8.39439728741706e-06,102.366986865884,0.296588754295984,0.999904571046856
ENSG00000270207,0,0,0,NaN,NaN,NaN
ENSG00000227110,0,0,0,NaN,NaN,NaN
ENSG00000228351,0,0,0,NaN,NaN,NaN
ENSG00000231401,0,0,0,NaN,NaN,NaN
ENSG00000071282,1.56464232731081e-05,0.00160167720569631,2.56536987124714e-06,102.366986865884,0.1639588694789,0.999904571046856
ENSG00000237697,0,0,0,NaN,NaN,NaN
ENSG00000224884,0,0,0,NaN,NaN,NaN
ENSG00000125046,0,0,0,NaN,NaN,NaN
ENSG00000182533,0,0,0,NaN,NaN,NaN
ENSG00000180914,0,0,0,NaN,NaN,NaN
