ENSEMBL,MEAN,SD,VAR,CV,FF,GC
ENSG00000100003,0.000355937834879464,0.0133624276138642,0.000178554471735761,37.541464560488,0.501645102707971,0.999342247565159
ENSG00000249590,0,0,0,NaN,NaN,NaN
ENSG00000268538,0,0,0,NaN,NaN,NaN
ENSG00000242114,0.00806842036760094,0.0615409046514384,0.00378728294531743,7.62737956720232,0.469395838685527,0.984812133453835
ENSG00000273428,0,0,0,NaN,NaN,NaN
ENSG00000100012,0,0,0,NaN,NaN,NaN
ENSG00000181123,0,0,0,NaN,NaN,NaN
ENSG00000133488,0,0,0,NaN,NaN,NaN
ENSG00000214491,0,0,0,NaN,NaN,NaN
ENSG00000128242,0,0,0,NaN,NaN,NaN
ENSG00000100029,0.014273643659911,0.0971157971491267,0.00943147805591032,6.80385467530526,0.660761770479083,0.980819053119679
ENSG00000185339,0.00408189074076519,0.0530397372063791,0.00281321372292175,12.9939139910531,0.68919378336775,0.994611573596561
ENSG00000100036,6.07886009193073e-05,0.00144925968445403,2.10035363298379e-06,23.8409777908496,0.0345517679502422,0.998417470059931
ENSG00000167065,0.0025994066927127,0.0423566284671249,0.00179408397510206,16.2947293264534,0.690189796052952,0.99663182032064
ENSG00000184792,0,0,0,NaN,NaN,NaN
ENSG00000235989,0.000398549541624061,0.014673605677357,0.000215314703574565,36.8175198936703,0.540245768937966,0.999309221388903
ENSG00000133422,0.00129476630497945,0.0275383256673524,0.000758359380561162,21.2689545298211,0.585711396446324,0.997619495035127
ENSG00000253352,0.00460281114269879,0.0539673863015308,0.00291247878421865,11.7248752182971,0.632760870243085,0.993354908246346
ENSG00000269987,0,0,0,NaN,NaN,NaN
ENSG00000269972,0,0,0,NaN,NaN,NaN
ENSG00000183963,0.00153611326339244,0.0269650804320106,0.0007271155627048,17.55409648144,0.473347623533305,0.997071974090637
ENSG00000273387,8.42557673224916e-05,0.00430612095306089,1.854267766239e-05,51.1077293567226,0.220076064246348,0.999617151607963
ENSG00000198832,0.00342066143004052,0.0447976121248793,0.00200682605209113,13.0961841857435,0.586677779468914,0.994758889184417
ENSG00000185133,0,0,0,NaN,NaN,NaN
ENSG00000100078,0,0,0,NaN,NaN,NaN
ENSG00000138942,0.00202254475309964,0.0337829559355705,0.0011412881117447,16.7031932835091,0.564283242680104,0.996681153427758
ENSG00000254835,0,0,0,NaN,NaN,NaN
ENSG00000182541,0.0012784958084302,0.0233844518290546,0.000546832587345374,18.2905971805783,0.427715588693874,0.997249326949138
ENSG00000100100,0.00452918651747946,0.0560464075342419,0.00314119979749432,12.3744975654993,0.693546133587459,0.994071009339891
ENSG00000228839,0,0,0,NaN,NaN,NaN
ENSG00000100105,0.00248936390073924,0.0383220259605939,0.00146857767372444,15.3943045246273,0.589940937638055,0.99623857616014
